# The following text file defines a data item name replacement list that
# can be used by the 'cif_correct_tags' script. The file adheres to the
# following pattern:
#
# _incorrect_tag                      _correct_tag
#

# _geom_angle_atom_site_label_1
_geom_angle_atom_site_label_a         _geom_angle_atom_site_label_1
_geom_angle_site_label_1              _geom_angle_atom_site_label_1
_geom_angle_atom_site_symbol_1        _geom_angle_atom_site_label_1

# _geom_angle_atom_site_label_2
_geom_angle_atom_site_label_b         _geom_angle_atom_site_label_2
_geom_angle_site_label_2              _geom_angle_atom_site_label_2
_geom_angle_atom_site_symbol_2        _geom_angle_atom_site_label_2

# _geom_angle_atom_site_label_1
_geom_angle_atom_site_label_c         _geom_angle_atom_site_label_3
_geom_angle_site_label_3              _geom_angle_atom_site_label_3
_geom_angle_atom_site_symbol_3        _geom_angle_atom_site_label_3

# _geom_angle_publ_flag
_geom_angle_publ_falg                 _geom_angle_publ_flag

# _geom_bond_atom_site_label_1
_geom_bond_atom_site_symbol_1         _geom_bond_atom_site_label_1
_geom_bond_site_label_1               _geom_bond_atom_site_label_1

# _geom_bond_atom_site_label_1
_geom_bond_atom_site_symbol_2         _geom_bond_atom_site_label_2
_geom_bond_site_label_2               _geom_bond_atom_site_label_2

# _geom_bond_publ_flag
_geom_bond_publ_frag                  _geom_bond_publ_flag

# _geom_contact_atom_site_label_1
_geom_contact_atom_site_1             _geom_contact_atom_site_label_1

# _geom_contact_atom_site_label_2
_geom_contact_atom_site_2             _geom_contact_atom_site_label_2

# _geom_contact_publ_flag
_geom_contact__publ_flag              _geom_contact_publ_flag

# _geom_hbond_angle_DHA
_geom_angle_DHA                       _geom_hbond_angle_DHA

# _geom_hbond_atom_site_label_D
_geom_bond_atom_site_label_D          _geom_hbond_atom_site_label_D
_geom_hbond_atom_label_d              _geom_hbond_atom_site_label_D
_geom_hbond_atom_stie_label_d         _geom_hbond_atom_site_label_D

# _geom_hbond_atom_site_label_H
_geom_bond_atom_site_label_H          _geom_hbond_atom_site_label_H
_geom_hbond_atom_label_h              _geom_hbond_atom_site_label_H
_geom_hbond_atom_stie_label_h         _geom_hbond_atom_site_label_H

# _geom_hbond_atom_site_label_A
_geom_contact_atom_site_label_a       _geom_hbond_atom_site_label_A
_geom_bond_atom_site_label_A          _geom_hbond_atom_site_label_A
_geom_hbond_atom_label_a              _geom_hbond_atom_site_label_A
_geom_hbond_atom_stie_label_a         _geom_hbond_atom_site_label_A

# _geom_hbond_distance_DH
_geom_contact_distance_dh             _geom_hbond_distance_DH
_geom_bond_distance_DH                _geom_hbond_distance_DH
_geom_hbond_site_distance_dh          _geom_hbond_distance_DH
_gmom_hbond_distance_dh               _geom_hbond_distance_DH

# _geom_hbond_distance_HA
_geom_contact_distance_HA             _geom_hbond_distance_HA
_geom_hbond_site_distance_ha          _geom_hbond_distance_HA

# _geom_hbond_distance_DA
_geom_contact_distance_DA             _geom_hbond_distance_DA
_geom_hbond_site_distance_da          _geom_hbond_distance_DA

# _geom_geom_hbond_publ_flag
_geom_hbond_publ_fla                  _geom_hbond_publ_flag

# _geom_hbond_site_symmetry_A
_geom_contact_site_symmetry_A         _geom_hbond_site_symmetry_A
_geom_hbond_stie_symmetry_a           _geom_hbond_site_symmetry_A

# _geom_torsion_atom_site_label_1
_geom_torsion_atom_site_symbol_1      _geom_torsion_atom_site_label_1

# _geom_torsion_atom_site_label_2
_geom_torsion_atom_site_symbol_2      _geom_torsion_atom_site_label_2

# _geom_torsion_atom_site_label_3
_geom_torsion_atom_site_symbol_3      _geom_torsion_atom_site_label_3

# _geom_torsion_atom_site_label_4
_geom_torsion_atom_site_symbol_4      _geom_torsion_atom_site_label_4

# _publ_author_address
_publ_author_addres                   _publ_author_address
_publ_author_adress                   _publ_author_address

# _publ_author_name
_publ_autor_name                      _publ_author_name
_pupl_author_name                     _publ_author_name
_publ-author_name                     _publ_author_name
_publ_author                          _publ_author_name
_publ_section_author                  _publ_author_name
_publ_section_authors                 _publ_author_name

# _symmetry_Int_Tables
_symmetry_intl_tables_no              _symmetry_Int_Tables_number
_symmetry_inl_tables_number           _symmetry_Int_Tables_number
_symmetrry_inl_tables_number          _symmetry_Int_Tables_number
_symmetry_intl_tables_number          _symmetry_Int_Tables_number
_symmetry_name_int_tables_number      _symmetry_Int_Tables_number
_symmetry_international_tables_no     _symmetry_Int_Tables_number
_intl_tables_symmetry_no              _symmetry_Int_Tables_number
_int_tables_symmetry_number           _symmetry_Int_Tables_number
_intl_tables_symmetry_number          _symmetry_Int_Tables_number

# _space_group_IT_number
_symmetry_space_group_it_number       _space_group_IT_number
_symmetry_space_group_number          _space_group_IT_number
_symmetry_it_number                   _space_group_IT_number

# _symmetry_space_group_name_Hall
_symmetry_space_group_name_hall'      _symmetry_space_group_name_Hall

# _space_group_name_H-M_alt
_space_group_name_hm                  _space_group_name_H-M_alt

# _atom_sites_solution_hydrogens
_atom_sites_solution_hydrogen         _atom_sites_solution_hydrogens
_atoms_sites_solution_hydrogens       _atom_sites_solution_hydrogens

# _atom_sites_solution_primary
_atom_site_solution_primary           _atom_sites_solution_primary
_atoms_sites_solution_primary         _atom_sites_solution_primary

# _atom_sites_solution_secondary
_atom_site_solution_secondary         _atom_sites_solution_secondary
_atom_site_solution_secondry          _atom_sites_solution_secondary
_atoms_sites_solution_hydrogens       _atom_sites_solution_secondary

# _atom_site_Wyckoff_symbol
#
# _atom_site_Wyckoff_label was output by older versions of ISOTROPY Suite.
# This issue was discovered by the developers and fixed in the October 2023
# release.
#
_atom_site_Wyckoff_label              _atom_site_Wyckoff_symbol

# _atom_site_occupancy
_atom_site_occupanc1                  _atom_site_occupancy

# _atom_site_symmetry_multiplicity
_atom_site_symetry_multiplicity       _atom_site_symmetry_multiplicity
