#
# _tag      _incorrect_value        _correct_value
# 
_atom_site_adp_type                 Uij             Uani
_atom_site_adp_type                 Bij             Bani
_atom_site_thermal_displace_type    Uij             Uani
_atom_site_thermal_displace_type    Bij             Bani
_exptl_absorpt_correction_type      spherical       sphere
_exptl_absorpt_correction_type      psi-scans       psi-scan
_exptl_absorpt_correction_type      no              none
_exptl_absorpt_correction_type      multi-scans     multi-scan
_exptl_absorpt_correction_type      cylindrical     cylinder
_exptl_absorpt_correction_type      mumerical       numerical
_geom_bond_publ_flag                yee             yes
_geom_bond_publ_flag                yea             yes
_geom_bond_publ_flag                yse             yes
_geom_bond_publ_flag                ues             yes
_geom_bond_publ_flag                nos             no
_geom_bond_publ_flag                n0              no
_geom_bond_publ_flag                non             no
_geom_bond_publ_flag                noB             no
_geom_angle_publ_flag               n0              no
_geom_angle_publ_flag               nno             no
_geom_angle_publ_flag               ye              yes
_geom_angle_publ_flag               es              yes
_geom_angle_publ_flag               yee             yes
_symmetry_cell_setting              orthorombic     orthorhombic
_symmetry_cell_setting              orthorrombic    orthorhombic
_symmetry_cell_setting              ORTHPRHOMBIC    orthorhombic
_symmetry_cell_setting              orthrhombic     orthorhombic
_symmetry_cell_setting              ortho.          orthorhombic
_symmetry_cell_setting              tetragonalic    tetragonal
_symmetry_cell_setting              Retragonal      tetragonal
_symmetry_cell_setting              mpnoclinic      monoclinic
_symmetry_cell_setting              Monclinic       monoclinic
_symmetry_cell_setting              Mmnoclinic      monoclinic
_symmetry_cell_setting              monoclinc       monoclinic
_symmetry_cell_setting              Mmonoclinic     monoclinic
_symmetry_cell_setting              monoclini       monoclinic
_symmetry_cell_setting              momoclinic      monoclinic
_symmetry_cell_setting              Monolic         monoclinic
_symmetry_cell_setting              Moniclinic      monoclinic
_symmetry_cell_setting              monocline       monoclinic
_symmetry_cell_setting              Trclinic        triclinic
_symmetry_cell_setting              riclinic        triclinic
_symmetry_cell_setting              Triclnic        triclinic
_symmetry_cell_setting              `triclinic`     triclinic
_symmetry_cell_setting              hexahongal      hexagonal
_symmetry_cell_setting              hexgonal        hexagonal
_symmetry_cell_setting              Trigonsl        trigonal
_symmetry_cell_setting              Rhomboedral     rhombohedral
_atom_sites_solution_primary        isomorph        isomor
_atom_sites_solution_hydrogens      dfimap          difmap
