|Aluminium calcium iron iron(III) magnesium titanium silicate hydroxide hydrate *|de=la=Calle, C; Pezerat, H; Gasperin, M|Problemes d'ordre-desordre dans les vermiculites structure du mineral calcique hydrate a 2 couches|Journal de Physique (Paris), Colloque.|1977 38 128 133
H16.74 Al3.36 Ca.86 Fe.41 Mg4.04 O30.42 Si5.53 Ti.08
5.351 9.262 15.03 90 96.83 90
C12/m1
Si1 8 j 0.394 0.167 0.183 0.691 ?
Al1 8 j 0.394 0.167 0.183 0.294 ?
Fe1 8 j 0.394 0.167 0.183 0.015 ?
Mg1 4 g 0. 0.167 0. 0.674 ?
Al2 4 g 0. 0.167 0. 0.168 ?
Fe2 4 g 0. 0.167 0. 0.021 ?
Fe3 4 g 0. 0.167 0. 0.028 ?
Ti1 4 g 0. 0.167 0. 0.014 ?
Mg2 2 b 0. 0.5 0. 0.674 ?
Al3 2 b 0. 0.5 0. 0.168 ?
Fe4 2 b 0. 0.5 0. 0.021 ?
Fe5 2 b 0. 0.5 0. 0.028 ?
Ti2 2 b 0. 0.5 0. 0.014 ?
O1 4 i 0.855 0. 0.064 1. ?
O2 8 j 0.353 0.167 0.077 1. ?
O3 8 j 0.138 0.231 0.222 1. ?
O4 4 i 0.444 0. 0.216 1. ?
Ca1 4 h 0. 0.333 0.5 0.115 ?
Ca2 4 h 0. 0.036 0.5 0.1 ?
O5 8 j 0.12 0.141 0.4 0.22 ?
O6 8 j 0.27 0.355 0.408 0.11 ?
O7 4 i 0.45 0.5 0.342 0.2 ?
O8 4 i 0.45 0. 0.49 0.2 ?
O9 8 j 0.27 0.228 0.41 0.15 ?
O10 4 i 0.125 0.5 0.391 0.22 ?
H1 8 j -1. -1. -1. 2.08 ?
