|.....|Dapporto, P.; Paoli, P.; Sega, A.|{2-[<i>p</i>-(<i>o</i>-Butoxybenzamido)benzoyloxy]ethyl}diethylmethylammonium iodide|Acta Crystallographica Section C|1992 48(12) 2189 2192
C25 H35 I N2 O4
13.331(3) 13.797(5) 28.179(6) 90 90 90
Pbca
I ? ? 0.07400(10) 0.21780(10) 0.23630(10) ? 0.0750(6)
O1 ? ? -0.6040(7) 0.1204(8) 0.3877(4) ? 0.087(4)
O2 ? ? -0.6729(7) 0.1371(8) 0.4578(4) ? 0.083(4)
O3 ? ? -0.2177(7) 0.1223(8) 0.5837(3) ? 0.086(4)
O4 ? ? -0.0223(7) 0.1292(6) 0.4693(3) ? 0.064(3)
N1 ? ? -0.6930(8) 0.0136(8) 0.2958(5) ? 0.067(4)
N2 ? ? -0.2026(8) 0.1136(7) 0.5037(3) ? 0.050(3)
C1 ? ? -0.6690(13) 0.0258(17) 0.2380(7) ? 0.159(6)
C2 ? ? -0.6185(14) -0.0435(14) 0.3226(7) ? 0.105(6)
C3 ? ? -0.532(2) -0.023(3) 0.3140(13) ? 0.284(7)
C4 ? ? -0.7864(16) -0.0379(17) 0.3008(6) ? 0.160(5)
C5 ? ? -0.841(2) -0.085(2) 0.2829(9) ? 0.262(7)
C6 ? ? -0.6932(15) 0.1188(13) 0.3175(7) ? 0.123(4)
C7 ? ? -0.7021(12) 0.1307(14) 0.3648(6) ? 0.099(5)
C8 ? ? -0.5994(10) 0.1266(10) 0.4348(6) ? 0.061(4)
C9 ? ? -0.4971(9) 0.1207(9) 0.4534(5) ? 0.057(4)
C10 ? ? -0.4797(9) 0.1203(8) 0.5018(5) ? 0.065(4)
C11 ? ? -0.3861(9) 0.1163(9) 0.5192(5) ? 0.070(4)
C12 ? ? -0.3025(9) 0.1132(9) 0.4895(5) ? 0.087(5)
C13 ? ? -0.3206(10) 0.1114(9) 0.4416(5) ? 0.125(5)
C14 ? ? -0.4171(10) 0.1179(10) 0.4224(6) ? 0.071(4)
C15 ? ? -0.1639(10) 0.1209(8) 0.5473(6) ? 0.087(8)
C16 ? ? -0.0520(9) 0.1251(9) 0.5517(5) ? 0.057(4)
C17 ? ? -0.0132(11) 0.1285(10) 0.5978(6) ? 0.075(4)
C18 ? ? 0.0869(12) 0.1312(11) 0.6060(7) ? 0.087(5)
C19 ? ? 0.1529(12) 0.1273(10) 0.5693(6) ? 0.077(4)
C20 ? ? 0.1189(10) 0.1267(9) 0.5223(5) ? 0.063(4)
C21 ? ? 0.0153(9) 0.1259(9) 0.5136(5) ? 0.050(3)
C22 ? ? 0.0447(10) 0.1392(11) 0.4290(5) ? 0.065(7)
C23 ? ? -0.0215(11) 0.1554(12) 0.3860(5) ? 0.074(7)
C24 ? ? -0.0756(12) 0.2523(12) 0.3869(6) ? 0.084(7)
C25 ? ? -0.1443(14) 0.2698(16) 0.3449(6) ? 0.098(8)
H2 ? ? -0.1480(10) 0.1070(10) 0.4750(10) ? 0.0500000
H11 ? ? -0.5990(10) 0.064(2) 0.2330(10) ? 0.1000000
H12 ? ? -0.7290(10) 0.066(2) 0.2210(10) ? 0.1000000
H13 ? ? -0.6630(10) -0.045(2) 0.2220(10) ? 0.1000000
H21 ? ? -0.6300(10) -0.1190(10) 0.3140(10) ? 0.1000000
H22 ? ? -0.6310(10) -0.0320(10) 0.3600(10) ? 0.1000000
H31 ? ? -0.483(2) -0.068(3) 0.3350(10) ? 0.1000000
H32 ? ? -0.519(2) 0.052(3) 0.3220(10) ? 0.1000000
H33 ? ? -0.517(2) -0.036(3) 0.2770(10) ? 0.1000000
H41 ? ? -0.835(2) 0.021(2) 0.3120(10) ? 0.1000000
H42 ? ? -0.769(2) -0.083(2) 0.3310(10) ? 0.1000000
H51 ? ? -0.902(2) -0.103(2) 0.3060(10) ? 0.1000000
H52 ? ? -0.803(2) -0.151(2) 0.2720(10) ? 0.1000000
H53 ? ? -0.869(2) -0.048(2) 0.2520(10) ? 0.1000000
H61 ? ? -0.7550(10) 0.1570(10) 0.3010(10) ? 0.0500000
H62 ? ? -0.6230(10) 0.1520(10) 0.3070(10) ? 0.0500000
H71 ? ? -0.7320(10) 0.2020(10) 0.3720(10) ? 0.0500000
H72 ? ? -0.7530(10) 0.0770(10) 0.3790(10) ? 0.0500000
H10 ? ? -0.5420(10) 0.1230(10) 0.5260(10) ? 0.0500000
H111 ? ? -0.3750(10) 0.1160(10) 0.5570(10) ? 0.0500000
H131 ? ? -0.2580(10) 0.1050(10) 0.4180(10) ? 0.0500000
H14 ? ? -0.4290(10) 0.1210(10) 0.3840(10) ? 0.0500000
H17 ? ? -0.0640(10) 0.1290(10) 0.6280(10) ? 0.0500000
H18 ? ? 0.1140(10) 0.1360(10) 0.6420(10) ? 0.0500000
H19 ? ? 0.2320(10) 0.1250(10) 0.5760(10) ? 0.0500000
H20 ? ? 0.1720(10) 0.1270(10) 0.4930(10) ? 0.0500000
H221 ? ? 0.0940(10) 0.2000(10) 0.4340(10) ? 0.0500000
H222 ? ? 0.0890(10) 0.0740(10) 0.4250(10) ? 0.0500000
H231 ? ? 0.0250(10) 0.1520(10) 0.3550(10) ? 0.0500000
H232 ? ? -0.0770(10) 0.0980(10) 0.3850(10) ? 0.0500000
H241 ? ? -0.0200(10) 0.3090(10) 0.3880(10) ? 0.0500000
H242 ? ? -0.1200(10) 0.2550(10) 0.4190(10) ? 0.0500000
H251 ? ? -0.1800(10) 0.340(2) 0.3480(10) ? 0.0500000
H252 ? ? -0.2010(10) 0.214(2) 0.3440(10) ? 0.0500000
H253 ? ? -0.1010(10) 0.268(2) 0.3120(10) ? 0.0500000
