||Noinville, V.; Viossat, B.; Dung, Nguyen-Huy|Isotypie entre les structures cristallines des tétrakis(μ-acétato)bis(méthanol) dicuivre(II) et de dirhodium(II)|Acta Crystallographica Section C|1993 49(7) 1297 1298
C10 H20 O10 Rh2
8.0880(10) 7.456(2) 13.371(4) 90 92.83(2) 90
P121/n1
Rh ? ? .44429(4) .13778(4) .46885(2) ? .02040(10)
O(1) ? ? .5218(4) .0654(4) .3318(2) ? .026(2)
O(2) ? ? .6684(3) .2534(4) .5027(2) ? .025(2)
O(3) ? ? .2269(3) .0071(4) .4392(2) ? .025(2)
O(4) ? ? .3744(4) .1956(4) .6092(2) ? .026(2)
O(51) ? ? .3301(4) .4018(4) .4121(2) ? .034(2)
C(1) ? ? .5936(5) -.0838(6) .3219(3) ? .025(2)
C(2) ? ? .6440(7) -.1335(7) .2191(3) ? .043(3)
C(3) ? ? .7846(5) .1572(6) .5400(3) ? .025(2)
C(4) ? ? .9505(5) .2455(7) .5604(4) ? .036(3)
C(52) ? ? .3499(7) .4546(7) .3119(4) ? .046(3)
H(21) ? ? .5615 -.1677 .1825 ? .0633
H(22) ? ? .73316 -.20742 .2242 ? .0633
H(23) ? ? .66392 -.03945 .18609 ? .0633
H(41) ? ? .93495 .35611 .58347 ? .0633
H(42) ? ? 1.00892 .23537 .5095 ? .0633
H(43) ? ? .99079 .2144 .6212 ? .0633
H(51) ? ? .3281 .5106 .4457 ? .0633
H(52A) ? ? .33605 .35777 .27999 ? .0633
H(52B) ? ? .25696 .51200 .28945 ? .0633
H(52C) ? ? .44245 .49533 .30348 ? .0633
