gamma-Cyclodextrin methanol||||Acta Crystallographica, Section B|1998 B54 450 455
?
23.808(4) 23.808(4) 23.140(3) 90.00 90.00 90.00
P4212
C11 ? ? .6663(5) .2384(5) .9516(4) 1 .060(3)
H11 ? ? .6657(5) .2789(5) .9595(4) 1 .072
C21 ? ? .7038(4) .2272(5) .8998(4) 1 .055(3)
H21 ? ? .7405(4) .2448(5) .9061(4) 1 .066
C31 ? ? .7116(5) .1628(4) .8917(3) 1 .051(3)
H31 ? ? .6751(5) .1463(4) .8819(3) 1 .061
C41 ? ? .7319(4) .1369(5) .9462(4) 1 .049(3)
H41 ? ? .7695(4) .1511(5) .9554(4) 1 .058
C51 ? ? .6913(4) .1504(4) .9962(4) 1 .061(3)
H51 ? ? .6542(4) .1345(4) .9880(4) 1 .073
C61 ? ? .7119(6) .1300(5) 1.0551(4) 1 .093(5)
H611 ? ? .6899(6) .1476(5) 1.0854(4) .56(2) .111
H612 ? ? .7068(6) .0897(5) 1.0579(4) .56(2) .111
H618 ? ? .7209(6) .0903(5) 1.0532(4) .44(2) .111
H619 ? ? .7457(6) .1503(5) 1.0660(4) .44(2) .111
O21 ? ? .6789(3) .2500(3) .8488(3) 1 .061(2)
O31 ? ? .7496(3) .1526(3) .8451(3) 1 .058(2)
O41 ? ? .7340(3) .0776(3) .9375(3) 1 .059(2)
O51 ? ? .6876(3) .2103(3) .9998(3) 1 .058(2)
O61A ? ? .7695(5) .1433(7) 1.0629(5) .56(2) .071(6)
O61B ? ? .6690(9) .1394(10) 1.0968(5) .44(2) .129(11)
C12 ? ? .4482(5) .2844(5) .9505(4) 1 .053(3)
H12 ? ? .4188(5) .3126(5) .9570(4) 1 .064
C22 ? ? .4844(4) .3039(5) .8996(4) 1 .059(3)
H22 ? ? .4986(4) .3418(5) .9072(4) 1 .071
C32 ? ? .5332(5) .2643(5) .8894(4) 1 .060(3)
H32 ? ? .5191(5) .2270(5) .8791(4) 1 .072
C42 ? ? .5684(5) .2609(6) .9467(5) 1 .065(4)
H42 ? ? .5845(5) .2977(6) .9558(5) 1 .078
C52 ? ? .5294(4) .2417(5) .9955(3) 1 .065(3)
H52 ? ? .5145(4) .2043(5) .9869(3) 1 .078
C62 ? ? .5576(6) .2416(6) 1.0542(4) 1 .096(5)
H621 ? ? .5292(6) .2407(6) 1.0842(4) .58(2) .115
H622 ? ? .5806(6) .2082(6) 1.0579(4) .58(2) .115
H628 ? ? .5936(6) .2226(6) 1.0517(4) .42(2) .115
H629 ? ? .5642(6) .2799(6) 1.0668(4) .42(2) .115
O22 ? ? .4500(3) .3042(4) .8467(3) 1 .077(3)
O32 ? ? .5683(3) .2854(4) .8443(3) 1 .068(2)
O42 ? ? .6123(3) .2205(3) .9378(3) 1 .057(2)
O52 ? ? .4830(3) .2819(4) 1.0013(3) 1 .076(2)
O62A ? ? .5915(6) .2897(6) 1.0613(5) .58(2) .080(6)
O62B ? ? .5222(9) .2133(10) 1.0946(6) .42(2) .116(11)
C13 ? ? .6360(4) .2569(4) .6272(4) 1 .046(3)
H13 ? ? .6725(4) .2744(4) .6193(4) 1 .056
C23 ? ? .6104(5) .2853(5) .6784(5) 1 .061(3)
H23 ? ? .6073(5) .3253(5) .6693(5) 1 .073
C33 ? ? .5500(5) .2626(5) .6875(4) 1 .055(3)
H33 ? ? .5515(5) .2230(5) .6992(4) 1 .066
C43 ? ? .5172(4) .2681(5) .6329(4) 1 .051(3)
H43 ? ? .5129(4) .3079(5) .6230(4) 1 .061
C53 ? ? .5468(5) .2380(5) .5848(3) 1 .065(3)
H53 ? ? .5501(5) .1984(5) .5958(3) 1 .079
C63 ? ? .5165(6) .2406(5) .5261(5) 1 .103(6)
H631 ? ? .5356(6) .2164(5) .4986(5) .89(2) .123
H632 ? ? .4783(6) .2273(5) .5304(5) .89(2) .123
H638 ? ? .4879(6) .2118(5) .5243(5) .11(2) .123
H639 ? ? .4984(6) .2769(5) .5217(5) .11(2) .123
O23 ? ? .6428(3) .2804(3) .7300(3) 1 .064(2)
O33 ? ? .5219(3) .2953(4) .7320(3) 1 .075(2)
O43 ? ? .4635(3) .2439(3) .6431(3) 1 .057(2)
O53 ? ? .6037(3) .2606(4) .5783(3) 1 .065(2)
O63A ? ? .5160(5) .2959(5) .5050(4) .89(2) .105(5)
O63B ? ? .5553(12) .233(2) .4811(6) .11(2) .04(2)
C14 ? ? .7765(5) .0835(4) .6266(4) 1 .054(3)
H14 ? ? .8149(5) .0710(4) .6186(4) 1 .065
C24 ? ? .7775(5) .1229(4) .6770(5) 1 .052(3)
H24 ? ? .8022(5) .1544(4) .6670(5) 1 .062
C34 ? ? .7190(5) .1465(4) .6885(4) 1 .059(3)
H34 ? ? .6928(5) .1162(4) .6981(4) 1 .071
C44 ? ? .7008(5) .1761(4) .6326(4) 1 .050(3)
H44 ? ? .7269(5) .2067(4) .6233(4) 1 .060
C54 ? ? .7008(5) .1334(5) .5854(4) 1 .064(3)
H54 ? ? .6753(5) .1029(5) .5965(4) 1 .076
C64 ? ? .6813(6) .1569(6) .5277(4) 1 .102(6)
H641 ? ? .6805(6) .1271(6) .4992(4) .69(3) .122
H642 ? ? .6435(6) .1717(6) .5316(4) .69(3) .122
H648 ? ? .6478(6) .1371(6) .5153(4) .31(3) .122
H649 ? ? .6718(6) .1963(6) .5323(4) .31(3) .122
O24 ? ? .7986(3) .0978(3) .7287(3) 1 .065(2)
O34 ? ? .7194(3) .1886(3) .7336(2) 1 .057(2)
O44 ? ? .6452(3) .1980(3) .6415(3) 1 .056(2)
O54 ? ? .7555(4) .1106(3) .5778(3) 1 .064(2)
O64A ? ? .7173(5) .1994(5) .5093(4) .69(3) .074(6)
O64B ? ? .7233(15) .151(3) .4853(10) .31(3) .21(3)
