|||Les Composés de la Metformine avec les Ions Co^II^, Cu^II^ et Ni^II^|Acta Crystallographica C|1996 52 1430 1436
C4 H12 Cl3 Co N5
12.502(5) 7.533(2) 13.040(4) 90 112.97(3) 90
P121/c1
Co ? ? 0.7176(1) 0.1389(1) 0.6989(1) ? 0.0290(1)
Cl(1) ? ? 0.8633(1) 0.1537(2) 0.8697(1) ? 0.0400(1)
Cl(2) ? ? 0.5385(1) 0.0992(2) 0.6972(1) ? 0.0400(1)
Cl(3) ? ? 0.7574(1) -0.0750(2) 0.5979(1) ? 0.0500(1)
N(1) ? ? 0.5884(4) 0.2582(5) 0.4510(3) ? 0.0430(4)
N(2) ? ? 0.6316(4) 0.5524(5) 0.4608(3) ? 0.0400(4)
N(3) ? ? 0.7170(3) 0.3711(5) 0.6174(3) ? 0.0270(3)
N(4) ? ? 0.8843(3) 0.5032(6) 0.6174(3) ? 0.0390(4)
N(5) ? ? 0.8268(3) 0.5571(5) 0.7609(3) ? 0.0320(3)
C(1) ? ? 0.6476(4) 0.3949(6) 0.5090(4) ? 0.0300(4)
C(2) ? ? 0.8094(4) 0.4838(6) 0.6646(3) ? 0.0260(4)
C(51) ? ? 0.7358(5) 0.5726(8) 0.8026(4) ? 0.0550(6)
C(52) ? ? 0.9365(5) 0.6437(8) 0.8263(4) ? 0.0520(6)
H(11) ? ? 0.5946 0.1578 0.4712 ? 0.0659
H(12) ? ? 0.5369 0.2614 0.3804 ? 0.0659
H(21) ? ? 0.6460 0.6394 0.4960 ? 0.0659
H(22) ? ? 0.5937 0.5633 0.3950 ? 0.0659
H(41) ? ? 0.9464 0.5646 0.6415 ? 0.0659
H(42) ? ? 0.8730 0.4331 0.5601 ? 0.0659
H(511) ? ? 0.6658 0.4938 0.7560 ? 0.0659
H(512) ? ? 0.7222 0.6977 0.8125 ? 0.0659
H(513) ? ? 0.7597 0.5116 0.8774 ? 0.0659
H(521) ? ? 0.9433 0.6590 0.9019 ? 0.0659
H(522) ? ? 0.9360 0.7577 0.8108 ? 0.0659
H(523) ? ? 1.0066 0.5737 0.8237 ? 0.0659
