||Lim, Jong Wan; Yeo, Hwan Jin; Jeong, Jong Hwa|trans-[Bis-2,6-(2-benzimidazolyl-κN^2^)pyridine-κN]nitrobis (triphenylphosphine-P)ruthenium(II) Perchlorate Ethanol Solvate|Acta Crystallographica Section C|1997 53 1405 1407
[Ru (C57 H49 N6 O3 P2)], Cl O4
11.991(2) 13.951(4) 14.923(4) 96.02(2) 94.49(2) 98.42(2)
P-1
Ru ? ? .15950(5) .25795(4) .30085(4) 1 .0273(2)
P1 ? ? .0507(2) .27811(14) .16349(13) 1 .0336(5)
P2 ? ? .2731(2) .23848(13) .43812(13) 1 .0320(5)
N1 ? ? .1395(5) .1056(4) .2557(4) 1 .0341(14)
N2 ? ? .2944(5) .2468(4) .2306(4) 1 .0345(14)
N3 ? ? .2410(5) .4045(4) .3138(4) 1 .0329(14)
N4 ? ? .2201(5) -.0096(4) .1825(4) 1 .0289(13)
H4 ? ? .2675(5) -.0359(4) .1515(4) 1 .035
N5 ? ? .3900(5) .5019(4) .2756(4) 1 .0271(13)
H5 ? ? .4531(5) .5200(4) .2540(4) 1 .032
N6 ? ? .0199(5) .2738(4) .3696(4) 1 .0332(14)
O1 ? ? -.0316(5) .3424(4) .3595(4) 1 .051(2)
O2 ? ? -.0163(5) .2137(4) .4206(4) 1 .0512(15)
C1 ? ? .0717(7) .0145(5) .2588(5) 1 .036(2)
C2 ? ? -.0284(7) -.0131(6) .2989(5) 1 .044(2)
H2 ? ? -.0674(7) .0326(6) .3273(5) 1 .052
C3 ? ? -.0656(8) -.1124(6) .2936(6) 1 .056(2)
H3 ? ? -.1321(8) -.1342(6) .3184(6) 1 .067
C4 ? ? -.0073(10) -.1799(6) .2527(7) 1 .067(3)
H4 ? ? -.0348(10) -.2457(6) .2530(7) 1 .080
C5 ? ? .0893(9) -.1550(6) .2116(7) 1 .058(3)
H5 ? ? .1276(9) -.2012(6) .1832(7) 1 .069
C6 ? ? .1257(8) -.0550(6) .2157(6) 1 .047(2)
C7 ? ? .2217(7) .0843(5) .2092(5) 1 .036(2)
C8 ? ? .3115(7) .1609(5) .1899(5) 1 .036(2)
