||Campi, Eva M.; Fallon, Gary D.; Holmes, Andrea; Perlmutter, Patrick; Teo, Chin C.|cis-5-Methyl-4-phenyl-3-(4-toluenesulfonyl)-1,3-oxazin-2-one|Acta Crystallographica Section C|1995 51 279 280
C18 H19 N O4 S
18.688(9) 11.428(6) 15.797(8) 90.0 90.0 90.0
Pbca
S ? ? 0.37386(4) 0.00710(7) 0.19207(6) ? 0.0443(3)
N ? ? 0.29500(10) -0.0512(2) 0.2238(2) ? 0.0350(10)
O(1) ? ? 0.35180(10) -0.2064(3) 0.2838(2) ? 0.0590(10)
O(2) ? ? 0.23550(10) -0.2043(2) 0.2931(2) ? 0.0550(10)
O(3) ? ? 0.35280(10) 0.1101(2) 0.1481(2) ? 0.0610(10)
O(4) ? ? 0.41950(10) 0.0163(3) 0.2636(2) ? 0.0660(10)
C(1) ? ? 0.2971(2) -0.1558(3) 0.2675(2) ? 0.0410(10)
C(2) ? ? 0.1668(2) -0.1510(3) 0.2750(2) ? 0.0500(10)
C(3) ? ? 0.1701(2) -0.0225(3) 0.2612(2) ? 0.0400(10)
C(4) ? ? 0.2270(2) 0.0050(3) 0.1954(2) ? 0.0340(10)
C(5) ? ? 0.0965(2) 0.0246(3) 0.2379(3) ? 0.0520(10)
C(6) ? ? 0.2093(2) -0.0301(3) 0.1047(2) ? 0.0340(10)
C(7) ? ? 0.2204(2) -0.1420(3) 0.0742(2) ? 0.0440(10)
C(8) ? ? 0.2058(2) -0.1705(3) -0.0090(2) ? 0.0530(10)
C(9) ? ? 0.1793(2) -0.0877(4) -0.0626(2) ? 0.0560(10)
C(10) ? ? 0.1667(2) 0.0247(4) -0.0343(2) ? 0.0580(10)
C(11) ? ? 0.1821(2) 0.0539(3) 0.0498(2) ? 0.0460(10)
C(12) ? ? 0.4114(2) -0.0896(3) 0.1183(2) ? 0.0410(10)
C(13) ? ? 0.4603(2) -0.1740(3) 0.1440(2) ? 0.0460(10)
C(14) ? ? 0.4911(2) -0.2460(3) 0.0842(3) ? 0.0510(10)
C(15) ? ? 0.4747(2) -0.2360(3) -0.0018(2) ? 0.0520(10)
C(16) ? ? 0.4246(2) -0.1519(4) -0.0252(2) ? 0.0630(10)
C(17) ? ? 0.3932(2) -0.0782(4) 0.0328(2) ? 0.0580(10)
C(18) ? ? 0.5092(2) -0.3132(4) -0.0673(3) ? 0.073(2)
H(2A) ? ? 0.1350 -0.1675 0.3212 ? 0.080
H(2B) ? ? 0.1473 -0.1859 0.2248 ? 0.080
H(3A) ? ? 0.1841 0.0127 0.3138 ? 0.080
H(4A) ? ? 0.2348 0.0880 0.1958 ? 0.080
H(5A) ? ? 0.0624 0.0057 0.2812 ? 0.080
H(5B) ? ? 0.0990 0.1080 0.2312 ? 0.080
H(5C) ? ? 0.0821 -0.0106 0.1855 ? 0.080
H(7A) ? ? 0.2383 -0.2007 0.1121 ? 0.080
H(8A) ? ? 0.2151 -0.2484 -0.0289 ? 0.080
H(9A) ? ? 0.1687 -0.1081 -0.1202 ? 0.080
H(10A) ? ? 0.1482 0.0829 -0.0723 ? 0.080
H(11A) ? ? 0.1734 0.1319 0.0700 ? 0.080
H(13A) ? ? 0.4720 -0.1828 0.2028 ? 0.080
H(14A) ? ? 0.5256 -0.3035 0.1016 ? 0.080
H(16A) ? ? 0.4114 -0.1456 -0.0838 ? 0.080
H(17A) ? ? 0.3593 -0.0195 0.0161 ? 0.080
H(18B) ? ? 0.4905 -0.2937 -0.1222 ? 0.080
H(18C) ? ? 0.5600 -0.3013 -0.0669 ? 0.080
H(18D) ? ? 0.4988 -0.3937 -0.0549 ? 0.080
