||||Inorganic Chemistry|2000
C63 H60 Cl Cu3 F12 N9 O3 P2
24.433(3) 24.4328 24.4328 90 90 90
I23
Cu ? ? 0.26923(7) 0.22702(7) 0.16048(6) 1.00 0.0381(4)
Cl ? ? 0.1739(2) 0.1739 0.1739 0.33 0.0504(3)
P(1) ? ? 0.3602 0.0000 0.5000 0.50 0.0517
P(2) ? ? 0.8786 -0.8786 -0.8786 0.17 0.1248
F(1) ? ? 0.3599 0.0581 0.4707 1.00 0.0910
F(2) ? ? 0.3108 0.0183 0.5372 1.00 0.1889
F(3) ? ? 0.3912 -0.0223 0.4472 1.00 0.2038
F(4) ? ? 0.8464 -0.8464 -0.8464 0.20 0.2349
F(5) ? ? 0.8515 -0.9138 -0.8581 0.60 0.2409
F(6) ? ? 0.9112 -0.9112 -0.9112 0.20 0.2262
O ? ? 0.2892(3) 0.1956(3) 0.2283(4) 1.00 0.031(2)
N(1) ? ? 0.3500(4) 0.2108(4) 0.1438(4) 1.00 0.033(3)
N(2) ? ? 0.3961(5) 0.1169(5) 0.2930(4) 1.00 0.041(3)
N(3) ? ? 0.2367(4) 0.2584(4) 0.0937(4) 1.00 0.038(3)
C(1) ? ? 0.3341(5) 0.1587(5) 0.2257(6) 1.00 0.038(4)
C(2) ? ? 0.3723(5) 0.1766(6) 0.1803(6) 1.00 0.037(4)
C(3) ? ? 0.4260(6) 0.1603(6) 0.1786(5) 1.00 0.041(4)
C(4) ? ? 0.4598(6) 0.1802(7) 0.1394(7) 1.00 0.057(5)
C(5) ? ? 0.4378(6) 0.2169(6) 0.1019(6) 1.00 0.048(4)
C(6) ? ? 0.3828(6) 0.2309(6) 0.1051(5) 1.00 0.040(4)
C(7) ? ? 0.3605(7) 0.2727(8) 0.0639(6) 1.00 0.069(5)
C(8) ? ? 0.3630(5) 0.1612(5) 0.2816(5) 1.00 0.032(3)
C(9) ? ? 0.3555(7) 0.2049(6) 0.3172(6) 1.00 0.048(4)
C(10) ? ? 0.3830(8) 0.2054(7) 0.3649(7) 1.00 0.068(6)
C(11) ? ? 0.4185(8) 0.1635(9) 0.3775(7) 1.00 0.071(6)
C(12) ? ? 0.4235(6) 0.1187(6) 0.3396(6) 1.00 0.044(4)
C(13) ? ? 0.4608(7) 0.0695(7) 0.3521(7) 1.00 0.066(5)
C(14) ? ? 0.2173(5) 0.3090(5) 0.1003(5) 1.00 0.029(3)
C(15) ? ? 0.1912(6) 0.3377(6) 0.0584(5) 1.00 0.039(4)
C(16) ? ? 0.1867(6) 0.3108(7) 0.0086(7) 1.00 0.064(5)
C(17) ? ? 0.2055(7) 0.2564(6) 0.0023(6) 1.00 0.057(5)
C(18) ? ? 0.2306(7) 0.2324(6) 0.0446(5) 1.00 0.051(4)
C(19) ? ? 0.2495(7) 0.1735(7) 0.0421(7) 1.00 0.066(6)
C(20) ? ? 1.0000 0.0000 0.266(2) 0.33 0.08(1)
C(21) ? ? 1.0248(10) 0.039(1) 0.292(1) 0.67 0.063(8)
C(22) ? ? 1.0278(9) 0.040(1) 0.343(1) 0.67 0.073(9)
C(23) ? ? 1.0000 0.0000 0.377(2) 0.33 0.06(1)
H(3) ? ? 0.4403 0.1352 0.2060 1.00 0.0455
H(4) ? ? 0.4973 0.1692 0.1384 1.00 0.0717
H(5) ? ? 0.4616 0.2315 0.0744 1.00 0.0595
H(7a) ? ? 0.3478 0.3045 0.0807 1.00 0.0824
H(7b) ? ? 0.3881 0.2818 0.0372 1.00 0.0824
H(7c) ? ? 0.3302 0.2565 0.0430 1.00 0.0824
H(9) ? ? 0.3301 0.2347 0.3081 1.00 0.0584
H(10) ? ? 0.3776 0.2352 0.3907 1.00 0.0804
H(11) ? ? 0.4409 0.1665 0.4097 1.00 0.0874
H(13a) ? ? 0.4402 0.0358 0.3528 1.00 0.0828
H(13b) ? ? 0.4884 0.0651 0.3235 1.00 0.0828
H(13c) ? ? 0.4797 0.0730 0.3859 1.00 0.0828
H(15) ? ? 0.1765 0.3736 0.0639 1.00 0.0487
H(16) ? ? 0.1710 0.3307 -0.0217 1.00 0.0809
H(17) ? ? 0.1988 0.2378 -0.0314 1.00 0.0648
H(19a) ? ? 0.2295 0.1515 0.0671 1.00 0.0782
H(19b) ? ? 0.2444 0.1588 0.0058 1.00 0.0782
H(19c) ? ? 0.2877 0.1710 0.0507 1.00 0.0782
