|?|Chiba, Hirokazu; Wada, Akihide; Ozeki, Tomoji|Cation-controlled assembly of Na±linked lacunary alpha-Keggin tungstosilicates.|Dalton transactions (Cambridge, England : 2003)|2006 (9) 1213 1217
C H29 K6 N3 Na O50.5 Si W11
19.457(1) 22.581(1) 11.069(1) 90.00 90.00 90.00
Ama2
K1 1 ? 0.07859(9) 0.07849(8) 0.8543(3) 1 0.0314(4)
K2 1 ? 0.02819(11) 0.42113(9) 0.6650(3) 1 0.0358(5)
K3A 1 ? 0.12778(16) 0.2599(3) 0.8542(4) 0.730(18) 0.0265(9)
K3B 1 ? 0.1462(9) 0.2889(10) 0.8414(17) 0.270(18) 0.047(5)
W1 1 ? 0.165136(18) 0.070628(15) 0.52433(3) 1 0.01290(8)
W3 1 ? 0.156344(17) 0.291658(15) 0.50287(3) 1 0.01161(8)
W4 1 ? 0.071693(12) 0.186440(11) 0.34763(4) 1 0.01183(5)
W5 1 ? 0.164270(19) 0.069659(16) 0.18237(3) 1 0.01315(8)
W9 1 ? 0.154317(18) 0.292905(15) 0.19243(3) 1 0.01092(7)
W10 2 ? 0.2500 0.17493(2) 0.03040(5) 1 0.01150(9)
Na1 2 ? 0.2500 0.1734(3) 0.6764(5) 1 0.0180(11)
Si1 2 ? 0.2500 0.17838(10) 0.3513(4) 1 0.0089(4)
O1 1 ? 0.1077(3) 0.0130(3) 0.5441(6) 1 0.0214(12)
O3 1 ? 0.1244(3) 0.3517(3) 0.5807(6) 1 0.0202(12)
O4 1 ? -0.0146(3) 0.1706(2) 0.3449(7) 1 0.0194(9)
O5 1 ? 0.1050(3) 0.0200(3) 0.1242(6) 1 0.0211(13)
O9 1 ? 0.1226(3) 0.3416(3) 0.0861(5) 1 0.0171(11)
O10 2 ? 0.2500 0.1918(4) -0.1210(7) 1 0.0210(17)
O12 1 ? 0.1699(3) 0.1008(3) 0.6698(6) 1 0.0191(12)
O14 1 ? 0.1744(3) 0.2419(3) 0.6182(5) 1 0.0176(12)
O16 2 ? 0.2500 0.0262(3) 0.5368(8) 1 0.0132(14)
O17 1 ? 0.0708(3) 0.2501(2) 0.4591(5) 1 0.0126(11)
O18 2 ? 0.2500 0.0305(4) 0.1443(8) 1 0.0186(17)
O20 1 ? 0.1408(2) 0.3320(2) 0.3346(5) 1 0.0129(9)
O21 1 ? 0.0732(3) 0.2453(2) 0.2189(5) 1 0.0129(11)
O22 1 ? 0.1815(3) 0.1140(2) 0.0332(6) 1 0.0166(10)
O26 1 ? 0.1047(3) 0.1327(3) 0.4617(5) 1 0.0141(11)
O27 1 ? 0.1703(2) 0.0506(2) 0.3401(6) 1 0.0162(9)
O30 1 ? 0.1028(3) 0.1325(3) 0.2253(5) 1 0.0148(11)
O32 2 ? 0.2500 0.3148(3) 0.4773(7) 1 0.0112(14)
O33 1 ? 0.1827(3) 0.2283(2) 0.0876(5) 1 0.0131(10)
O35 2 ? 0.2500 0.3132(3) 0.1935(7) 1 0.0109(14)
O36 2 ? 0.2500 0.1340(4) 0.4675(7) 1 0.0134(16)
O37 1 ? 0.1828(2) 0.22127(18) 0.3517(7) 1 0.0112(7)
O38 2 ? 0.2500 0.1389(4) 0.2272(8) 1 0.0129(16)
C1 2 ? 0.2500 0.4705(4) 0.3495(15) 1 0.0182(16)
N1 2 ? 0.2500 0.4425(5) 0.2460(11) 1 0.018(2)
H1A 2 ? 0.2500 0.4036 0.2443 1 0.022
H1B 2 ? 0.2500 0.4627 0.1779 1 0.022
N2 2 ? 0.2500 0.5298(4) 0.3504(14) 1 0.0248(17)
H2A 2 ? 0.2500 0.5495 0.2819 1 0.030
H2B 2 ? 0.2500 0.5490 0.4196 1 0.030
N3 2 ? 0.2500 0.4414(6) 0.4546(12) 1 0.024(2)
H3A 2 ? 0.2500 0.4024 0.4554 1 0.029
H3B 2 ? 0.2500 0.4612 0.5231 1 0.029
O40 1 ? 0.0405(4) 0.1711(3) 0.9994(7) 1 0.0319(15)
O41 1 ? 0.0503(4) 0.1844(3) 0.7164(7) 1 0.0260(14)
O42 1 ? -0.0249(6) 0.0654(5) 0.6677(11) 1 0.065(3)
O43 1 ? 0.0686(5) -0.0489(4) 0.8993(8) 1 0.047(2)
O44 2 ? 0.0000 0.5000 0.8527(14) 1 0.0380(19)
O45A 1 ? 0.1469(10) 0.4163(8) 0.844(3) 0.730(18) 0.106(6)
O46A 2 ? 0.2500 0.3250(10) 0.835(3) 0.730(18) 0.081(7)
O45B 2 ? 0.2500 0.3743(12) 0.842(4) 0.270(18) 0.022(6)
