||Yu Chikamoto; Masakazu Hirotsu; Tatsuya Kawamoto; Takumi Konno|Alkylation of Nonbridging Thiolato Groups in an S-bridged CoIIIPdIICoIII Trinuclear Complex: Control of Geometrical Isomerism by Tuning Trans Influence Due to Sulfur Donors|Chemistry Letters|2005 34(3) 362
C14 H56 Cl4 Co2 N6 O7 Pd S6
? ? ? ? ? ?
P21
Pd1 1 ? 0.00001(18) 0.4925(4) 0.24958(18) 1 0.0274(4)
Pd2 1 ? 0.50035(18) 0.4943(4) 0.25036(19) 1 0.0281(4)
Co1 1 ? -0.1807(3) 0.4830(5) 0.0688(2) 1 0.0251(9)
Co2 1 ? 0.1798(3) 0.4835(5) 0.4308(3) 1 0.0255(9)
Co3 1 ? 0.3207(3) 0.5021(5) 0.0695(3) 1 0.0305(11)
Co4 1 ? 0.6801(3) 0.5027(5) 0.4318(3) 1 0.0309(11)
Cl1 1 ? 0.2738(7) 0.7785(8) 0.3744(6) 1 0.069(3)
Cl2 1 ? -0.2750(7) 0.7765(7) 0.1236(6) 1 0.071(3)
Cl3 1 ? 0.2273(8) 0.2124(8) 0.1234(6) 1 0.075(3)
Cl4 1 ? 0.7717(6) 0.2147(6) 0.3773(6) 1 0.056(3)
Cl5 1 ? 0.1338(7) 0.7523(7) 0.0518(7) 1 0.057(3)
Cl6 1 ? 0.6314(6) 0.7354(7) 0.5518(6) 1 0.048(2)
Cl7 1 ? 0.3680(6) 0.7356(7) -0.0522(6) 1 0.055(3)
Cl8 1 ? -0.1323(6) 0.7530(7) 0.4487(6) 1 0.054(3)
S1 1 ? -0.0318(5) 0.4813(7) 0.1055(5) 1 0.0297(18)
S2 1 ? -0.1545(5) 0.4976(7) 0.2079(5) 1 0.0322(19)
S3 1 ? -0.3337(5) 0.4810(7) 0.0227(5) 1 0.037(2)
S4 1 ? 0.0295(5) 0.4810(6) 0.3914(5) 1 0.0279(18)
S5 1 ? 0.1552(5) 0.4989(8) 0.2922(5) 1 0.0314(19)
S6 1 ? 0.3318(5) 0.4820(7) 0.4755(5) 1 0.035(2)
S7 1 ? 0.4715(5) 0.5070(7) 0.1082(5) 1 0.036(2)
S8 1 ? 0.3458(5) 0.4887(8) 0.2069(5) 1 0.034(2)
S9 1 ? 0.1680(6) 0.5033(8) 0.0261(6) 1 0.049(3)
S10 1 ? 0.5306(5) 0.5078(7) 0.3932(5) 1 0.032(2)
S11 1 ? 0.6560(5) 0.4862(7) 0.2943(5) 1 0.0304(18)
S12 1 ? 0.8345(5) 0.5041(7) 0.4746(6) 1 0.042(2)
O1 1 ? 0.0290 0.2434 0.1227 1 0.077(8)
O2 1 ? 0.4138 0.4649 -0.1437 1 0.078(9)
O3 1 ? 0.4189 0.9649 0.3628 1 0.054(5)
O4 1 ? -0.4640 0.7762 0.1335 1 0.077(6)
O5 1 ? -0.0195 0.1342 0.2542 0.50 0.031(5)
O6 1 ? -0.6372 0.1293 0.2886 0.50 0.062(8)
