?|?||||
C56 H58 N2 O2 P4 Pd4 Se8 W2
10.55250(10) 15.1794(2) 21.2565(2) 90.00 98.7260(10) 90.00
P21/c
W1 1 ? 0.03577(4) 0.78875(3) 0.054942(18) 1 0.03206(12)
Pd1 1 ? -0.01995(7) 0.96108(5) 0.10744(3) 1 0.03023(18)
Pd2 1 ? 0.11341(7) 0.89448(5) -0.04922(3) 1 0.03181(19)
Se1 1 ? -0.08532(9) 0.90664(7) -0.00202(4) 1 0.0332(2)
Se2 1 ? 0.09653(11) 0.83218(7) 0.16073(5) 1 0.0409(3)
Se3 1 ? 0.21922(11) 0.76556(7) 0.00742(5) 1 0.0433(3)
Se4 1 ? -0.08522(15) 0.66461(9) 0.05033(7) 1 0.0716(4)
P1 1 ? 0.2485(3) 0.89754(19) -0.12285(12) 1 0.0378(6)
P2 1 ? -0.0116(3) 1.03479(17) 0.20157(11) 1 0.0329(6)
C1 1 ? 0.3514(10) 0.9921(7) -0.1294(5) 1 0.042(3)
C2 1 ? 0.3767(11) 1.0548(9) -0.0806(6) 1 0.061(3)
H2A 1 ? 0.3334 1.0513 -0.0457 1 0.073
C3 1 ? 0.4633(14) 1.1208(11) -0.0834(8) 1 0.091(5)
H3A 1 ? 0.4795 1.1614 -0.0503 1 0.109
C4 1 ? 0.5265(13) 1.1272(10) -0.1348(8) 1 0.077(4)
H4A 1 ? 0.5862 1.1718 -0.1367 1 0.092
C5 1 ? 0.5014(12) 1.0682(9) -0.1827(6) 1 0.065(4)
H5A 1 ? 0.5433 1.0729 -0.2181 1 0.078
C6 1 ? 0.4154(11) 1.0021(9) -0.1798(5) 1 0.059(3)
H6A 1 ? 0.3998 0.9625 -0.2135 1 0.071
C7 1 ? 0.3629(13) 0.8067(8) -0.1219(5) 1 0.055(3)
C8 1 ? 0.4804(13) 0.8134(10) -0.0845(8) 1 0.083(5)
H8A 1 ? 0.5017 0.8644 -0.0611 1 0.100
C9 1 ? 0.5697(17) 0.7431(15) -0.0813(11) 1 0.117(7)
H9A 1 ? 0.6509 0.7490 -0.0576 1 0.141
C10 1 ? 0.536(2) 0.6680(16) -0.1127(11) 1 0.129(10)
H10A 1 ? 0.5929 0.6210 -0.1086 1 0.155
C11 1 ? 0.421(2) 0.6586(12) -0.1503(8) 1 0.122(8)
H11A 1 ? 0.4018 0.6073 -0.1736 1 0.146
C12 1 ? 0.3297(17) 0.7293(10) -0.1535(6) 1 0.089(5)
H12A 1 ? 0.2483 0.7226 -0.1769 1 0.107
C13 1 ? -0.0258(10) 0.9640(6) 0.2704(4) 1 0.035(2)
C14 1 ? 0.0720(16) 0.9579(10) 0.3206(6) 1 0.093(5)
H14A 1 ? 0.1477 0.9895 0.3212 1 0.111
C15 1 ? 0.052(2) 0.9006(12) 0.3723(7) 1 0.147(10)
H15A 1 ? 0.1128 0.8991 0.4090 1 0.176
C16 1 ? -0.057(2) 0.8475(9) 0.3677(7) 1 0.096(6)
H16A 1 ? -0.0666 0.8062 0.3990 1 0.116
C17 1 ? -0.1430(15) 0.8578(9) 0.3186(7) 1 0.076(4)
H17A 1 ? -0.2189 0.8263 0.3175 1 0.091
C18 1 ? -0.1328(12) 0.9094(9) 0.2692(6) 1 0.068(4)
H18A 1 ? -0.1968 0.9094 0.2339 1 0.081
C19 1 ? 0.1321(10) 1.0988(7) 0.2265(5) 1 0.039(2)
C20 1 ? 0.2344(12) 1.0930(8) 0.1962(6) 1 0.059(3)
H20A 1 ? 0.2301 1.0570 0.1605 1 0.071
C21 1 ? 0.3477(13) 1.1400(10) 0.2167(7) 1 0.078(4)
H21A 1 ? 0.4187 1.1344 0.1959 1 0.094
C22 1 ? 0.3510(15) 1.1951(10) 0.2692(7) 1 0.082(5)
H22A 1 ? 0.4259 1.2258 0.2839 1 0.098
C23 1 ? 0.2459(14) 1.2055(10) 0.2999(7) 1 0.082(5)
H23A 1 ? 0.2476 1.2435 0.3343 1 0.099
C24 1 ? 0.1372(12) 1.1564(8) 0.2771(5) 1 0.056(3)
H24A 1 ? 0.0648 1.1627 0.2968 1 0.067
C25 1 ? -0.1480(9) 1.1127(6) 0.2008(5) 1 0.037(2)
H25A 1 ? -0.1971 1.0982 0.2344 1 0.044
H25B 1 ? -0.1166 1.1726 0.2073 1 0.044
N1 1 ? 0.3361(13) 0.5642(8) 0.0846(6) 1 0.076(3)
O1 1 ? 0.3337(11) 0.6177(9) 0.1828(5) 1 0.115(4)
C26 1 ? 0.4680(18) 0.5901(13) 0.0844(11) 1 0.139(8)
H26A 1 ? 0.4946 0.5720 0.0452 1 0.208
H26B 1 ? 0.5217 0.5624 0.1194 1 0.208
H26C 1 ? 0.4753 0.6529 0.0885 1 0.208
C27 1 ? 0.269(2) 0.5244(10) 0.0274(9) 1 0.144(9)
H27A 1 ? 0.3264 0.5166 -0.0029 1 0.217
H27B 1 ? 0.1992 0.5620 0.0096 1 0.217
H27C 1 ? 0.2351 0.4682 0.0375 1 0.217
C28 1 ? 0.2822(17) 0.5839(11) 0.1360(9) 1 0.088(5)
H28B 1 ? 0.1961 0.5695 0.1346 1 0.105

?|?||||
C26 H24 P2 Pd Se4 W
9.3350(5) 10.6129(6) 15.6580(9) 82.7280(10) 76.9780(10) 79.7350(10)
P-1
Pd1 1 ? 0.25736(4) 0.92730(3) 0.25141(2) 1 0.03369(10)
W1 1 ? 0.27412(3) 1.205004(19) 0.242194(15) 1 0.04447(9)
P1 1 ? 0.37175(14) 0.75858(12) 0.17148(8) 1 0.0352(3)
P2 1 ? 0.11384(15) 0.78717(13) 0.33682(8) 1 0.0371(3)
Se1 1 ? 0.14504(10) 1.36275(6) 0.16475(6) 1 0.0761(2)
Se2 1 ? 0.41888(10) 1.29173(7) 0.31061(6) 1 0.0757(2)
Se3 1 ? 0.10618(9) 1.09228(6) 0.34540(5) 1 0.0664(2)
Se4 1 ? 0.42616(6) 1.05589(5) 0.14718(4) 1 0.04532(14)
C1 1 ? 0.3110(5) 0.7652(5) 0.0684(3) 1 0.0403(10)
C2 1 ? 0.2278(7) 0.8730(6) 0.0358(4) 1 0.0522(13)
H2 1 ? 0.2022 0.9457 0.0668 1 0.063
C3 1 ? 0.1809(8) 0.8753(8) -0.0431(5) 1 0.0682(18)
H3 1 ? 0.1266 0.9495 -0.0652 1 0.082
C4 1 ? 0.2160(9) 0.7661(10) -0.0881(5) 1 0.078(2)
H4 1 ? 0.1837 0.7663 -0.1401 1 0.094
C5 1 ? 0.2990(10) 0.6564(9) -0.0558(5) 1 0.084(2)
H5 1 ? 0.3230 0.5832 -0.0863 1 0.101
C6 1 ? 0.3462(8) 0.6560(7) 0.0219(5) 1 0.0668(18)
