# _journal_year	_journal_volume	_journal_page_first	_journal_name_full
global	?	?	?	?
C5H17AlN2O8P2	?	?	?	?
1001031	1977	38	128	Journal_de_Physique_(Paris),_Colloque.
d5	2001	40	2666	_Inorganic_Chemistry
1008954	1987	129	133	Journal_of_the_Less-Common_Metals
1100893	?	?	?	?
1101133	1995	14	611	Polyhedron
2000334	1991	47	880	Acta_Cryst._C
2001826	1993	C49	820	Acta_Crystallographica,_Section_C
2006132	1997	C53	597	Acta_Crystallographica
2006596	1997	53	1405	Acta_Crystallographica_Section_C
2007325	1998	54	840	Acta_Crystallographica_Section_C
2009397	1994	C50	129	Acta_Crystallographica
2103700	2001	57	507	Acta_Crystallographica_Section_B
2103867	2003	59	182	Acta_Crystallographica_Section_B
2103956	2003	59	557	Acta_Crystallographica_Section_B
2200639	2001	57	m496	Acta_Crystallographica,_Section_E
2201319	2002	58	m686	Acta_Crystallographica,_Section_E
2204100	2004	60	o1369	Acta_Crystallographica,_Section_E
2204368	2004	60	m1465	Acta_Crystallographica,_Section_E
2205750	2005	61	o1221	Acta_Crystallographica,_Section_E
7000063	2005	?	?	Dalton_Trans.
7101147	2005	?	?	Chemical_Communications
8000008	2005	34	362	Chemistry_Letters
