./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(5): NOTE, single-quoted string is missing a closing quote -- fixed.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(6): NOTE, DOS EOF symbol ^Z was encountered and ignored.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(1): WARNING, _journal_name_full is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(1): WARNING, _publ_section_title is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(1): WARNING, neither _journal_year nor _journal_volume is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(1): WARNING, neither _journal_page_first nor _journal_article_reference is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(2): WARNING, _journal_name_full is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(2): WARNING, _publ_section_title is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(2): WARNING, neither _journal_year nor _journal_volume is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(2): WARNING, neither _journal_page_first nor _journal_article_reference is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(3): WARNING, _journal_name_full is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(3): WARNING, _publ_section_title is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(3): WARNING, neither _journal_year nor _journal_volume is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(3): WARNING, neither _journal_page_first nor _journal_article_reference is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(4): WARNING, _journal_name_full is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(4): WARNING, _publ_section_title is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(4): WARNING, neither _journal_year nor _journal_volume is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(4): WARNING, neither _journal_page_first nor _journal_article_reference is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(5): WARNING, _journal_name_full is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(5): WARNING, _publ_section_title is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(5): WARNING, neither _journal_year nor _journal_volume is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(5): WARNING, neither _journal_page_first nor _journal_article_reference is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(6): WARNING, _journal_name_full is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(6): WARNING, _publ_section_title is undefined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(6): WARNING, neither _journal_year nor _journal_volume is defined.
./cod_predeposition_check: inputs/b008262g-missing-closing-quote.cif data_(6): WARNING, neither _journal_page_first nor _journal_article_reference is defined.
./cod_predeposition_check: cif_cod_check encountered 24 warning(s) at <script_name> line <line_no>.
./cod_predeposition_check: inputs/missing-closing-double-quote.cif data_X: NOTE, double-quoted string is missing a closing quote -- fixed.
./cod_predeposition_check: inputs/missing-closing-double-quote.cif: WARNING, file 'inputs/missing-closing-double-quote.cif' does not contain any datablocks with coordinates.
./cod_predeposition_check: file 'inputs/missing-closing-double-quote.cif' became empty after filtering with cif_filter at <script_name> line <line_no>.
