"Generators of the (3+1)-Dimensional Superspace Groups",,,,,,
"Harold T. Stokes, Branton J. Campbell, Dorian M. Hatch",,,,,,
"November 2006",,,,,,
" ",,,,,,
"Group Symbol","Equivalent","Generator 1","Generator 2","Generator 3","Generator 4",
"1.1 P1(abg)",,"x1,x2,x3,x4"," "," "," "," "
"2.1 P-1(abg)",,"-x1,-x2,-x3,-x4"," "," "," "," "
"3.1 P2(ab0)",,"-x1,-x2,x3,-x4"," "," "," "," "
"3.2 P2(ab1/2)",,"-x1,-x2,x3,x3-x4"," "," "," "," "
"3.3 P2(00g)",,"-x1,-x2,x3,x4"," "," "," "," "
"3.4 P2(00g)s",,"-x1,-x2,x3,x4+1/2"," "," "," "," "
"3.5 P2(1/20g)","s","-x1,-x2,x3,-x1+x4"," "," "," "," "
"4.1 P2_1(ab0)",,"-x1,-x2,x3+1/2,-x4"," "," "," "," "
"4.2 P2_1(00g)","s","-x1,-x2,x3+1/2,x4"," "," "," "," "
"4.3 P2_1(1/20g)","s","-x1,-x2,x3+1/2,-x1+x4"," "," "," "," "
"5.1 B2(ab0)",,"-x1,-x2,x3,-x4"," "," "," "," "
"5.2 B2(00g)",,"-x1,-x2,x3,x4"," "," "," "," "
"5.3 B2(00g)s",,"-x1,-x2,x3,x4+1/2"," "," "," "," "
"5.4 B2(01/2g)","s","-x1,-x2,x3,-x2+x4"," "," "," "," "
"6.1 Pm(ab0)",,"x1,x2,-x3,x4"," "," "," "," "
"6.2 Pm(ab0)s",,"x1,x2,-x3,x4+1/2"," "," "," "," "
"6.3 Pm(ab1/2)","s","x1,x2,-x3,-x3+x4"," "," "," "," "
"6.4 Pm(00g)",,"x1,x2,-x3,-x4"," "," "," "," "
"6.5 Pm(1/20g)",,"x1,x2,-x3,x1-x4"," "," "," "," "
"7.1 Pb(ab0)","s","x1,x2+1/2,-x3,x4"," "," "," "," "
"7.2 Pb(ab1/2)","s","x1,x2+1/2,-x3,-x3+x4"," "," "," "," "
"7.3 Pb(00g)",,"x1,x2+1/2,-x3,-x4"," "," "," "," "
"7.4 Pb(1/20g)",,"x1,x2+1/2,-x3,x1-x4"," "," "," "," "
"8.1 Bm(ab0)",,"x1,x2,-x3,x4"," "," "," "," "
"8.2 Bm(ab0)s",,"x1,x2,-x3,x4+1/2"," "," "," "," "
"8.3 Bm(00g)",,"x1,x2,-x3,-x4"," "," "," "," "
"8.4 Bm(01/2g)",,"x1,x2,-x3,x2-x4"," "," "," "," "
"9.1 Bb(ab0)","s","x1,x2+1/2,-x3,x4"," "," "," "," "
"9.2 Bb(00g)",,"x1,x2+1/2,-x3,-x4"," "," "," "," "
"10.1 P2/m(ab0)",,"-x1,-x2,x3,-x4","x1,x2,-x3,x4"," "," "," "
"10.2 P2/m(ab0)0s",,"-x1,-x2,x3,-x4","x1,x2,-x3,x4+1/2"," "," "," "
"10.3 P2/m(ab1/2)","0s","-x1,-x2,x3,x3-x4","x1,x2,-x3,-x3+x4"," "," "," "
"10.4 P2/m(00g)",,"-x1,-x2,x3,x4","x1,x2,-x3,-x4"," "," "," "
"10.5 P2/m(00g)s0",,"-x1,-x2,x3,x4+1/2","x1,x2,-x3,-x4"," "," "," "
"10.6 P2/m(1/20g)","s0","-x1,-x2,x3,-x1+x4","x1,x2,-x3,x1-x4"," "," "," "
"11.1 P2_1/m(ab0)",,"-x1,-x2,x3+1/2,-x4","x1,x2,-x3+1/2,x4"," "," "," "
"11.2 P2_1/m(ab0)0s",,"-x1,-x2,x3+1/2,-x4","x1,x2,-x3+1/2,x4+1/2"," "," "," "
"11.3 P2_1/m(00g)","s0","-x1,-x2,x3+1/2,x4","x1,x2,-x3+1/2,-x4"," "," "," "
"11.4 P2_1/m(1/20g)","s0","-x1,-x2,x3+1/2,-x1+x4","x1,x2,-x3+1/2,x1-x4"," "," "," "
"12.1 B2/m(ab0)",,"-x1,-x2,x3,-x4","x1,x2,-x3,x4"," "," "," "
"12.2 B2/m(ab0)0s",,"-x1,-x2,x3,-x4","x1,x2,-x3,x4+1/2"," "," "," "
"12.3 B2/m(00g)",,"-x1,-x2,x3,x4","x1,x2,-x3,-x4"," "," "," "
"12.4 B2/m(00g)s0",,"-x1,-x2,x3,x4+1/2","x1,x2,-x3,-x4"," "," "," "
"12.5 B2/m(01/2g)","s0","-x1,-x2,x3,-x2+x4","x1,x2,-x3,x2-x4"," "," "," "
"13.1 P2/b(ab0)","0s","-x1,-x2+1/2,x3,-x4","x1,x2+1/2,-x3,x4"," "," "," "
"13.2 P2/b(ab1/2)","0s","-x1,-x2+1/2,x3,x3-x4","x1,x2+1/2,-x3,-x3+x4"," "," "," "
"13.3 P2/b(00g)",,"-x1,-x2+1/2,x3,x4","x1,x2+1/2,-x3,-x4"," "," "," "
"13.4 P2/b(00g)s0",,"-x1,-x2+1/2,x3,x4+1/2","x1,x2+1/2,-x3,-x4"," "," "," "
"13.5 P2/b(1/20g)","s0","-x1,-x2+1/2,x3,-x1+x4","x1,x2+1/2,-x3,x1-x4"," "," "," "
"14.1 P2_1/b(ab0)","0s","-x1,-x2+1/2,x3+1/2,-x4","x1,x2+1/2,-x3+1/2,x4"," "," "," "
"14.2 P2_1/b(00g)","s0","-x1,-x2+1/2,x3+1/2,x4","x1,x2+1/2,-x3+1/2,-x4"," "," "," "
"14.3 P2_1/b(1/20g)","s0","-x1,-x2+1/2,x3+1/2,-x1+x4","x1,x2+1/2,-x3+1/2,x1-x4"," "," "," "
"15.1 B2/b(ab0)","0s","-x1,-x2+1/2,x3,-x4","x1,x2+1/2,-x3,x4"," "," "," "
"15.2 B2/b(00g)",,"-x1,-x2+1/2,x3,x4","x1,x2+1/2,-x3,-x4"," "," "," "
"15.3 B2/b(00g)s0",,"-x1,-x2+1/2,x3,x4+1/2","x1,x2+1/2,-x3,-x4"," "," "," "
"16.1 P222(00g)",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4","-x1,-x2,x3,x4"," "," "
"16.2 P222(00g)00s",,"x1,-x2,-x3,-x4","-x1,x2,-x3,-x4+1/2","-x1,-x2,x3,x4+1/2"," "," "
"16.3 P222(01/2g)","00s","x1,-x2,-x3,-x4","-x1,x2,-x3,x2-x4","-x1,-x2,x3,-x2+x4"," "," "
