dblname	tag	index	value
2000000	_chemical_formula_sum	0	-1	C16 H44 Co Nd2 O26
2000000	_[local]_cod_chemical_formula_sum_orig	0	-1	C16 H44 Co1 Nd2 O26
2000000	_journal_volume	0	-1	47
2000000	_journal_year	0	-1	1991
2000000	_journal_page_first	0	-1	1624
2000000	_journal_name_full	0	-1	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun.
2000000	_publ_author_name	0	0	A.Gonzalez
2000000	_publ_author_name	1	0	A.Beltran
2000000	_publ_author_name	2	0	A.le Bail
2000000	_cell_volume	0	-1	851.974
2000000	_exptl_crystal_colour	0	-1	purple
2000000	_exptl_crystal_density_diffrn	0	-1	1.95
2000000	_diffrn_ambient_temperature	0	-1	?
2000000	_refine_ls_r_factor_gt	0	-1	0.024
2000000	_refine_ls_wr_factor_gt	0	-1	0.024
2000000	_symmetry_cell_setting	0	-1	triclinic
2000000	_symmetry_space_group_name_h-m	0	-1	P -1
2000000	_symmetry_int_tables_number	0	-1	2
2000000	_symmetry_equiv_pos_site_id	0	1	1
2000000	_symmetry_equiv_pos_site_id	1	1	2
2000000	_symmetry_equiv_pos_as_xyz	0	1	x,y,z
2000000	_symmetry_equiv_pos_as_xyz	1	1	-x,-y,-z
2000000	_cell_length_a	0	-1	8.243(2)
2000000	_cell_length_b	0	-1	10.368(3)
2000000	_cell_length_c	0	-1	11.497(3)
2000000	_cell_angle_alpha	0	-1	111.64(1)
2000000	_cell_angle_beta	0	-1	107.94(1)
2000000	_cell_angle_gamma	0	-1	93.45(1)
2000000	_cell_formula_units_z	0	-1	1
2000000	_atom_type_symbol	0	2	C
2000000	_atom_type_symbol	1	2	H
2000000	_atom_type_symbol	2	2	Co
2000000	_atom_type_symbol	3	2	Nd
2000000	_atom_type_symbol	4	2	O
2000000	_atom_type_radius_bond	0	2	0.68
2000000	_atom_type_radius_bond	1	2	0.23
2000000	_atom_type_radius_bond	2	2	1.33
2000000	_atom_type_radius_bond	3	2	1.81
2000000	_atom_type_radius_bond	4	2	0.68
2000000	_atom_site_label	0	3	Nd1
2000000	_atom_site_label	1	3	Co1
2000000	_atom_site_label	2	3	O1
2000000	_atom_site_label	3	3	O2
2000000	_atom_site_label	4	3	O3
2000000	_atom_site_label	5	3	O4
2000000	_atom_site_label	6	3	O5
2000000	_atom_site_label	7	3	O6
2000000	_atom_site_label	8	3	O7
2000000	_atom_site_label	9	3	O8
2000000	_atom_site_label	10	3	O9
2000000	_atom_site_label	11	3	O10
2000000	_atom_site_label	12	3	O11
2000000	_atom_site_label	13	3	O12
2000000	_atom_site_label	14	3	O13
2000000	_atom_site_label	15	3	C1
2000000	_atom_site_label	16	3	C2
2000000	_atom_site_label	17	3	C3
2000000	_atom_site_label	18	3	C4
2000000	_atom_site_label	19	3	C5
2000000	_atom_site_label	20	3	C6
2000000	_atom_site_label	21	3	C7
2000000	_atom_site_label	22	3	C8
2000000	_atom_site_label	23	3	H1
2000000	_atom_site_label	24	3	H2
2000000	_atom_site_label	25	3	H3
2000000	_atom_site_label	26	3	H4
2000000	_atom_site_label	27	3	H5
2000000	_atom_site_label	28	3	H6
2000000	_atom_site_label	29	3	H7
2000000	_atom_site_label	30	3	H8
2000000	_atom_site_label	31	3	H9
2000000	_atom_site_label	32	3	H10
2000000	_atom_site_label	33	3	H11
2000000	_atom_site_label	34	3	H12
2000000	_atom_site_label	35	3	H13
2000000	_atom_site_label	36	3	H14
2000000	_atom_site_label	37	3	H15
2000000	_atom_site_label	38	3	H16
2000000	_atom_site_label	39	3	H17
2000000	_atom_site_label	40	3	H18
2000000	_atom_site_label	41	3	H19
2000000	_atom_site_label	42	3	H20
2000000	_atom_site_label	43	3	H21
2000000	_atom_site_label	44	3	H22
2000000	_atom_site_label	45	3	O1A*
2000000	_atom_site_label	46	3	Nd1A*
2000000	_atom_site_label	47	3	O3A*
2000000	_atom_site_label	48	3	O5A*
2000000	_atom_site_label	49	3	O7A*
2000000	_atom_site_label	50	3	C3A*
2000000	_atom_site_label	51	3	O2A*
2000000	_atom_site_label	52	3	O3A**
2000000	_atom_site_label	53	3	O4A*
2000000	_atom_site_label	54	3	O6A*
2000000	_atom_site_label	55	3	O8A*
2000000	_atom_site_label	56	3	O9A*
2000000	_atom_site_label	57	3	O11A*
2000000	_atom_site_label	58	3	Nd1A**
2000000	_atom_site_label	59	3	C1A*
2000000	_atom_site_label	60	3	C4A*
2000000	_atom_site_label	61	3	C2A*
2000000	_atom_site_label	62	3	C7A*
2000000	_atom_site_label	63	3	C1A**
2000000	_atom_site_label	64	3	C4A**
2000000	_atom_site_label	65	3	C2A**
2000000	_atom_site_label	66	3	H1A*
2000000	_atom_site_label	67	3	H2A*
2000000	_atom_site_label	68	3	H5A*
2000000	_atom_site_label	69	3	H6A*
2000000	_atom_site_label	70	3	O4A**
2000000	_atom_site_label	71	3	C5A*
2000000	_atom_site_label	72	3	O6A**
2000000	_atom_site_label	73	3	C8A*
2000000	_atom_site_label	74	3	O8A**
2000000	_atom_site_label	75	3	C6A*
2000000	_atom_site_label	76	3	H17A*
2000000	_atom_site_label	77	3	H18A*
2000000	_atom_site_label	78	3	H19A*
2000000	_atom_site_label	79	3	H11A*
2000000	_atom_site_label	80	3	H12A*
2000000	_atom_site_label	81	3	H13A*
2000000	_atom_site_label	82	3	H20A*
2000000	_atom_site_label	83	3	H21A*
2000000	_atom_site_label	84	3	H22A*
2000000	_atom_site_label	85	3	H14A*
2000000	_atom_site_label	86	3	H15A*
2000000	_atom_site_label	87	3	H16A*
2000000	_atom_site_type_symbol	0	3	Nd
2000000	_atom_site_type_symbol	1	3	Co
2000000	_atom_site_type_symbol	2	3	O
2000000	_atom_site_type_symbol	3	3	O
2000000	_atom_site_type_symbol	4	3	O
2000000	_atom_site_type_symbol	5	3	O
2000000	_atom_site_type_symbol	6	3	O
2000000	_atom_site_type_symbol	7	3	O
2000000	_atom_site_type_symbol	8	3	O
2000000	_atom_site_type_symbol	9	3	O
2000000	_atom_site_type_symbol	10	3	O
2000000	_atom_site_type_symbol	11	3	O
2000000	_atom_site_type_symbol	12	3	O
2000000	_atom_site_type_symbol	13	3	O
2000000	_atom_site_type_symbol	14	3	O
2000000	_atom_site_type_symbol	15	3	C
2000000	_atom_site_type_symbol	16	3	C
2000000	_atom_site_type_symbol	17	3	C
2000000	_atom_site_type_symbol	18	3	C
2000000	_atom_site_type_symbol	19	3	C
2000000	_atom_site_type_symbol	20	3	C
2000000	_atom_site_type_symbol	21	3	C
2000000	_atom_site_type_symbol	22	3	C
2000000	_atom_site_type_symbol	23	3	H
2000000	_atom_site_type_symbol	24	3	H
2000000	_atom_site_type_symbol	25	3	H
2000000	_atom_site_type_symbol	26	3	H
2000000	_atom_site_type_symbol	27	3	H
2000000	_atom_site_type_symbol	28	3	H
2000000	_atom_site_type_symbol	29	3	H
2000000	_atom_site_type_symbol	30	3	H
2000000	_atom_site_type_symbol	31	3	H
2000000	_atom_site_type_symbol	32	3	H
2000000	_atom_site_type_symbol	33	3	H
2000000	_atom_site_type_symbol	34	3	H
2000000	_atom_site_type_symbol	35	3	H
2000000	_atom_site_type_symbol	36	3	H
2000000	_atom_site_type_symbol	37	3	H
2000000	_atom_site_type_symbol	38	3	H
2000000	_atom_site_type_symbol	39	3	H
2000000	_atom_site_type_symbol	40	3	H
2000000	_atom_site_type_symbol	41	3	H
2000000	_atom_site_type_symbol	42	3	H
2000000	_atom_site_type_symbol	43	3	H
2000000	_atom_site_type_symbol	44	3	H
2000000	_atom_site_type_symbol	45	3	O
2000000	_atom_site_type_symbol	46	3	Nd
2000000	_atom_site_type_symbol	47	3	O
2000000	_atom_site_type_symbol	48	3	O
2000000	_atom_site_type_symbol	49	3	O
2000000	_atom_site_type_symbol	50	3	C
2000000	_atom_site_type_symbol	51	3	O
2000000	_atom_site_type_symbol	52	3	O
2000000	_atom_site_type_symbol	53	3	O
2000000	_atom_site_type_symbol	54	3	O
2000000	_atom_site_type_symbol	55	3	O
2000000	_atom_site_type_symbol	56	3	O
2000000	_atom_site_type_symbol	57	3	O
2000000	_atom_site_type_symbol	58	3	Nd
2000000	_atom_site_type_symbol	59	3	C
2000000	_atom_site_type_symbol	60	3	C
2000000	_atom_site_type_symbol	61	3	C
2000000	_atom_site_type_symbol	62	3	C
2000000	_atom_site_type_symbol	63	3	C
2000000	_atom_site_type_symbol	64	3	C
2000000	_atom_site_type_symbol	65	3	C
2000000	_atom_site_type_symbol	66	3	H
2000000	_atom_site_type_symbol	67	3	H
2000000	_atom_site_type_symbol	68	3	H
2000000	_atom_site_type_symbol	69	3	H
2000000	_atom_site_type_symbol	70	3	O
2000000	_atom_site_type_symbol	71	3	C
2000000	_atom_site_type_symbol	72	3	O
2000000	_atom_site_type_symbol	73	3	C
2000000	_atom_site_type_symbol	74	3	O
2000000	_atom_site_type_symbol	75	3	C
2000000	_atom_site_type_symbol	76	3	H
2000000	_atom_site_type_symbol	77	3	H
2000000	_atom_site_type_symbol	78	3	H
2000000	_atom_site_type_symbol	79	3	H
2000000	_atom_site_type_symbol	80	3	H
2000000	_atom_site_type_symbol	81	3	H
2000000	_atom_site_type_symbol	82	3	H
2000000	_atom_site_type_symbol	83	3	H
2000000	_atom_site_type_symbol	84	3	H
2000000	_atom_site_type_symbol	85	3	H
2000000	_atom_site_type_symbol	86	3	H
2000000	_atom_site_type_symbol	87	3	H
2000000	_atom_site_fract_x	0	3	0.08652(1)
2000000	_atom_site_fract_x	1	3	0.00000
2000000	_atom_site_fract_x	2	3	0.1104(2)
2000000	_atom_site_fract_x	3	3	0.2765(3)
