dblname	tag	index	value	filename
2000000	_chemical_formula_sum	0	C16 H44 Co Nd2 O26	tests/cif2tsv_010.inp
2000000	_[local]_cod_chemical_formula_sum_orig	0	C16 H44 Co1 Nd2 O26	tests/cif2tsv_010.inp
2000000	_journal_volume	0	47	tests/cif2tsv_010.inp
2000000	_journal_year	0	1991	tests/cif2tsv_010.inp
2000000	_journal_page_first	0	1624	tests/cif2tsv_010.inp
2000000	_journal_name_full	0	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun.	tests/cif2tsv_010.inp
2000000	_publ_author_name	0	A.Gonzalez	tests/cif2tsv_010.inp
2000000	_publ_author_name	1	A.Beltran	tests/cif2tsv_010.inp
2000000	_publ_author_name	2	A.le Bail	tests/cif2tsv_010.inp
2000000	_cell_volume	0	851.974	tests/cif2tsv_010.inp
2000000	_exptl_crystal_colour	0	purple	tests/cif2tsv_010.inp
2000000	_exptl_crystal_density_diffrn	0	1.95	tests/cif2tsv_010.inp
2000000	_diffrn_ambient_temperature	0	?	tests/cif2tsv_010.inp
2000000	_refine_ls_r_factor_gt	0	0.024	tests/cif2tsv_010.inp
2000000	_refine_ls_wr_factor_gt	0	0.024	tests/cif2tsv_010.inp
2000000	_symmetry_cell_setting	0	triclinic	tests/cif2tsv_010.inp
2000000	_symmetry_space_group_name_h-m	0	P -1	tests/cif2tsv_010.inp
2000000	_symmetry_int_tables_number	0	2	tests/cif2tsv_010.inp
2000000	_symmetry_equiv_pos_site_id	0	1	tests/cif2tsv_010.inp
2000000	_symmetry_equiv_pos_site_id	1	2	tests/cif2tsv_010.inp
2000000	_symmetry_equiv_pos_as_xyz	0	x,y,z	tests/cif2tsv_010.inp
2000000	_symmetry_equiv_pos_as_xyz	1	-x,-y,-z	tests/cif2tsv_010.inp
2000000	_cell_length_a	0	8.243(2)	tests/cif2tsv_010.inp
2000000	_cell_length_b	0	10.368(3)	tests/cif2tsv_010.inp
2000000	_cell_length_c	0	11.497(3)	tests/cif2tsv_010.inp
2000000	_cell_angle_alpha	0	111.64(1)	tests/cif2tsv_010.inp
2000000	_cell_angle_beta	0	107.94(1)	tests/cif2tsv_010.inp
2000000	_cell_angle_gamma	0	93.45(1)	tests/cif2tsv_010.inp
2000000	_cell_formula_units_z	0	1	tests/cif2tsv_010.inp
2000000	_atom_type_symbol	0	C	tests/cif2tsv_010.inp
2000000	_atom_type_symbol	1	H	tests/cif2tsv_010.inp
2000000	_atom_type_symbol	2	Co	tests/cif2tsv_010.inp
2000000	_atom_type_symbol	3	Nd	tests/cif2tsv_010.inp
2000000	_atom_type_symbol	4	O	tests/cif2tsv_010.inp
2000000	_atom_type_radius_bond	0	0.68	tests/cif2tsv_010.inp
2000000	_atom_type_radius_bond	1	0.23	tests/cif2tsv_010.inp
2000000	_atom_type_radius_bond	2	1.33	tests/cif2tsv_010.inp
2000000	_atom_type_radius_bond	3	1.81	tests/cif2tsv_010.inp
2000000	_atom_type_radius_bond	4	0.68	tests/cif2tsv_010.inp
2000000	_atom_site_label	0	Nd1	tests/cif2tsv_010.inp
2000000	_atom_site_label	1	Co1	tests/cif2tsv_010.inp
2000000	_atom_site_label	2	O1	tests/cif2tsv_010.inp
2000000	_atom_site_label	3	O2	tests/cif2tsv_010.inp
2000000	_atom_site_label	4	O3	tests/cif2tsv_010.inp
2000000	_atom_site_label	5	O4	tests/cif2tsv_010.inp
2000000	_atom_site_label	6	O5	tests/cif2tsv_010.inp
2000000	_atom_site_label	7	O6	tests/cif2tsv_010.inp
2000000	_atom_site_label	8	O7	tests/cif2tsv_010.inp
2000000	_atom_site_label	9	O8	tests/cif2tsv_010.inp
2000000	_atom_site_label	10	O9	tests/cif2tsv_010.inp
2000000	_atom_site_label	11	O10	tests/cif2tsv_010.inp
2000000	_atom_site_label	12	O11	tests/cif2tsv_010.inp
2000000	_atom_site_label	13	O12	tests/cif2tsv_010.inp
2000000	_atom_site_label	14	O13	tests/cif2tsv_010.inp
2000000	_atom_site_label	15	C1	tests/cif2tsv_010.inp
2000000	_atom_site_label	16	C2	tests/cif2tsv_010.inp
