dblname	tag	index	loopnr	value	filename
2000000	_chemical_formula_sum	0	-1	C16 H44 Co Nd2 O26	inputs/2000000.cif
2000000	_[local]_cod_chemical_formula_sum_orig	0	-1	C16 H44 Co1 Nd2 O26	inputs/2000000.cif
2000000	_journal_volume	0	-1	47	inputs/2000000.cif
2000000	_journal_year	0	-1	1991	inputs/2000000.cif
2000000	_journal_page_first	0	-1	1624	inputs/2000000.cif
2000000	_journal_name_full	0	-1	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun.	inputs/2000000.cif
2000000	_publ_author_name	0	0	A.Gonzalez	inputs/2000000.cif
2000000	_publ_author_name	1	0	A.Beltran	inputs/2000000.cif
2000000	_publ_author_name	2	0	A.le Bail	inputs/2000000.cif
2000000	_cell_volume	0	-1	851.974	inputs/2000000.cif
2000000	_exptl_crystal_colour	0	-1	purple	inputs/2000000.cif
2000000	_exptl_crystal_density_diffrn	0	-1	1.95	inputs/2000000.cif
2000000	_diffrn_ambient_temperature	0	-1	?	inputs/2000000.cif
2000000	_refine_ls_r_factor_gt	0	-1	0.024	inputs/2000000.cif
2000000	_refine_ls_wr_factor_gt	0	-1	0.024	inputs/2000000.cif
2000000	_symmetry_cell_setting	0	-1	triclinic	inputs/2000000.cif
2000000	_symmetry_space_group_name_h-m	0	-1	P -1	inputs/2000000.cif
2000000	_symmetry_int_tables_number	0	-1	2	inputs/2000000.cif
2000000	_symmetry_equiv_pos_site_id	0	1	1	inputs/2000000.cif
2000000	_symmetry_equiv_pos_site_id	1	1	2	inputs/2000000.cif
2000000	_symmetry_equiv_pos_as_xyz	0	1	x,y,z	inputs/2000000.cif
2000000	_symmetry_equiv_pos_as_xyz	1	1	-x,-y,-z	inputs/2000000.cif
2000000	_cell_length_a	0	-1	8.243(2)	inputs/2000000.cif
2000000	_cell_length_b	0	-1	10.368(3)	inputs/2000000.cif
2000000	_cell_length_c	0	-1	11.497(3)	inputs/2000000.cif
2000000	_cell_angle_alpha	0	-1	111.64(1)	inputs/2000000.cif
2000000	_cell_angle_beta	0	-1	107.94(1)	inputs/2000000.cif
2000000	_cell_angle_gamma	0	-1	93.45(1)	inputs/2000000.cif
2000000	_cell_formula_units_z	0	-1	1	inputs/2000000.cif
